,id,date,status,no2
365,9629,2020-10-08 14:30:00+00:00,FINAL,21.611
366,9629,2020-10-08 15:00:00+00:00,FINAL,
367,9629,2020-10-08 15:30:00+00:00,FINAL,35.381
368,9629,2020-10-08 16:00:00+00:00,FINAL,
369,9629,2020-10-08 16:30:00+00:00,FINAL,33.851
370,9629,2020-10-08 17:00:00+00:00,FINAL,
371,9629,2020-10-08 17:30:00+00:00,FINAL,45.709
372,9629,2020-10-08 18:00:00+00:00,FINAL,
373,9629,2020-10-08 18:30:00+00:00,FINAL,40.736
374,9629,2020-10-08 19:00:00+00:00,FINAL,
375,9629,2020-10-08 19:30:00+00:00,FINAL,26.392
376,9629,2020-10-08 20:00:00+00:00,FINAL,
377,9629,2020-10-08 20:30:00+00:00,FINAL,27.157
378,9629,2020-10-08 21:00:00+00:00,FINAL,
379,9629,2020-10-08 21:30:00+00:00,FINAL,34.042
380,9629,2020-10-08 22:00:00+00:00,FINAL,
381,9629,2020-10-08 22:30:00+00:00,FINAL,34.616
382,9629,2020-10-08 23:00:00+00:00,FINAL,
383,9629,2020-10-08 23:30:00+00:00,FINAL,25.245
384,9629,2020-10-09 00:00:00+00:00,FINAL,
385,9629,2020-10-09 00:30:00+00:00,FINAL,32.321
386,9629,2020-10-09 01:00:00+00:00,FINAL,
387,9629,2020-10-09 01:30:00+00:00,FINAL,23.141
388,9629,2020-10-09 02:00:00+00:00,FINAL,
389,9629,2020-10-09 02:30:00+00:00,FINAL,22.376
390,9629,2020-10-09 03:00:00+00:00,FINAL,
391,9629,2020-10-09 03:30:00+00:00,FINAL,19.699
392,9629,2020-10-09 04:00:00+00:00,FINAL,
393,9629,2020-10-09 04:30:00+00:00,FINAL,30.791
394,9629,2020-10-09 05:00:00+00:00,FINAL,
395,9629,2020-10-09 05:30:00+00:00,FINAL,
396,9629,2020-10-09 06:00:00+00:00,FINAL,
397,9629,2020-10-09 06:30:00+00:00,FINAL,
398,9629,2020-10-09 07:00:00+00:00,FINAL,
399,9629,2020-10-09 07:30:00+00:00,FINAL,40.545
400,9629,2020-10-09 08:00:00+00:00,FINAL,
401,9629,2020-10-09 08:30:00+00:00,FINAL,33.851
402,9629,2020-10-09 09:00:00+00:00,FINAL,
403,9629,2020-10-09 09:30:00+00:00,FINAL,32.513
404,9629,2020-10-09 10:00:00+00:00,FINAL,
405,9629,2020-10-09 10:30:00+00:00,FINAL,33.851
406,9629,2020-10-09 11:00:00+00:00,FINAL,
407,9629,2020-10-09 11:30:00+00:00,FINAL,31.556
408,9629,2020-10-09 12:00:00+00:00,FINAL,
409,9629,2020-10-09 12:30:00+00:00,FINAL,26.966
410,9629,2020-10-09 13:00:00+00:00,FINAL,
411,9629,2020-10-09 13:30:00+00:00,FINAL,25.054
412,9629,2020-10-09 14:00:00+00:00,FINAL,
413,9629,2020-10-09 14:30:00+00:00,FINAL,31.556
414,9629,2020-10-09 15:00:00+00:00,FINAL,
415,9629,2020-10-09 15:30:00+00:00,FINAL,39.78
416,9629,2020-10-09 16:00:00+00:00,FINAL,
417,9629,2020-10-09 16:30:00+00:00,FINAL,39.206
418,9629,2020-10-09 17:00:00+00:00,FINAL,
419,9629,2020-10-09 17:30:00+00:00,FINAL,29.261
420,9629,2020-10-09 18:00:00+00:00,FINAL,
421,9629,2020-10-09 18:30:00+00:00,FINAL,40.545
422,9629,2020-10-09 19:00:00+00:00,FINAL,
423,9629,2020-10-09 19:30:00+00:00,FINAL,35.764
424,9629,2020-10-09 20:00:00+00:00,FINAL,
425,9629,2020-10-09 20:30:00+00:00,FINAL,31.556
426,9629,2020-10-09 21:00:00+00:00,FINAL,
427,9629,2020-10-09 21:30:00+00:00,FINAL,27.54
428,9629,2020-10-09 22:00:00+00:00,FINAL,
429,9629,2020-10-09 22:30:00+00:00,FINAL,15.491
430,9629,2020-10-09 23:00:00+00:00,FINAL,
431,9629,2020-10-09 23:30:00+00:00,FINAL,10.901
432,9629,2020-10-10 00:00:00+00:00,FINAL,
433,9629,2020-10-10 00:30:00+00:00,FINAL,10.328
434,9629,2020-10-10 01:00:00+00:00,FINAL,
435,9629,2020-10-10 01:30:00+00:00,FINAL,10.328
436,9629,2020-10-10 02:00:00+00:00,FINAL,
437,9629,2020-10-10 02:30:00+00:00,FINAL,7.65
438,9629,2020-10-10 03:00:00+00:00,FINAL,
439,9629,2020-10-10 03:30:00+00:00,FINAL,10.136
440,9629,2020-10-10 04:00:00+00:00,FINAL,
441,9629,2020-10-10 04:30:00+00:00,FINAL,13.196
442,9629,2020-10-10 05:00:00+00:00,FINAL,
443,9629,2020-10-10 05:30:00+00:00,FINAL,
444,9629,2020-10-10 06:00:00+00:00,FINAL,
445,9629,2020-10-10 06:30:00+00:00,FINAL,
446,9629,2020-10-10 07:00:00+00:00,FINAL,
447,9629,2020-10-10 07:30:00+00:00,FINAL,
448,9629,2020-10-10 08:00:00+00:00,FINAL,
449,9629,2020-10-10 08:30:00+00:00,FINAL,23.524
450,9629,2020-10-10 09:00:00+00:00,FINAL,
451,9629,2020-10-10 09:30:00+00:00,FINAL,26.775
452,9629,2020-10-10 10:00:00+00:00,FINAL,
453,9629,2020-10-10 10:30:00+00:00,FINAL,25.436
454,9629,2020-10-10 11:00:00+00:00,FINAL,
455,9629,2020-10-10 11:30:00+00:00,FINAL,19.89
456,9629,2020-10-10 12:00:00+00:00,FINAL,
457,9629,2020-10-10 12:30:00+00:00,FINAL,18.551
458,9629,2020-10-10 13:00:00+00:00,FINAL,
459,9629,2020-10-10 13:30:00+00:00,FINAL,17.404
460,9629,2020-10-10 14:00:00+00:00,FINAL,
461,9629,2020-10-10 14:30:00+00:00,FINAL,21.229
462,9629,2020-10-10 15:00:00+00:00,FINAL,
463,9629,2020-10-10 15:30:00+00:00,FINAL,22.185
464,9629,2020-10-10 16:00:00+00:00,FINAL,
465,9629,2020-10-10 16:30:00+00:00,FINAL,15.109
466,9629,2020-10-10 17:00:00+00:00,FINAL,
467,9629,2020-10-10 17:30:00+00:00,FINAL,23.332
468,9629,2020-10-10 18:00:00+00:00,FINAL,
469,9629,2020-10-10 18:30:00+00:00,FINAL,17.786
470,9629,2020-10-10 19:00:00+00:00,FINAL,
471,9629,2020-10-10 19:30:00+00:00,FINAL,21.229
472,9629,2020-10-10 20:00:00+00:00,FINAL,
473,9629,2020-10-10 20:30:00+00:00,FINAL,30.409
474,9629,2020-10-10 21:00:00+00:00,FINAL,
475,9629,2020-10-10 21:30:00+00:00,FINAL,26.775
476,9629,2020-10-10 22:00:00+00:00,FINAL,
477,9629,2020-10-10 22:30:00+00:00,FINAL,24.098
478,9629,2020-10-10 23:00:00+00:00,FINAL,
479,9629,2020-10-10 23:30:00+00:00,FINAL,24.671
